company_id,period_end,canonical_field,winning_tag,discarded_tag,winning_value,discarded_value,relative_difference,resolution_rule,conflict_severity,winning_accession,discarded_accession,winning_filing_date,discarded_filing_date
chwy,2022-01-30,net_income,NetIncomeLoss,NetIncomeLoss,-75.207,-73.817,0.018482322124270357,latest valid filing then configured source-tag priority,medium,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2022-01-30,net_income,NetIncomeLoss,NetIncomeLoss,-75.207,-73.817,0.018482322124270357,latest valid filing then configured source-tag priority,medium,0001766502-24-000014,0001766502-22-000008,2024-03-20,2022-03-29
chwy,2022-01-30,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,191.743,191.739,2.0861256994991618e-05,latest valid filing then configured source-tag priority,low,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2022-01-30,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,191.743,191.739,2.0861256994991618e-05,latest valid filing then configured source-tag priority,low,0001766502-24-000014,0001766502-22-000008,2024-03-20,2022-03-29
chwy,2022-01-30,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,8967.407,8890.773,0.00854583716340744,latest valid filing then configured source-tag priority,medium,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2022-01-30,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,8967.407,8890.773,0.00854583716340744,latest valid filing then configured source-tag priority,medium,0001766502-24-000014,0001766502-22-000008,2024-03-20,2022-03-29
chwy,2022-01-30,total_equity,StockholdersEquity,StockholdersEquity,-39.62,-39.62,0.0,latest valid filing then configured source-tag priority,low,0001766502-25-000014,0001766502-24-000014,2025-03-26,2024-03-20
chwy,2022-01-30,total_equity,StockholdersEquity,StockholdersEquity,-39.62,14.736,1.3719333669863705,latest valid filing then configured source-tag priority,high,0001766502-25-000014,0001766502-23-000011,2025-03-26,2023-03-22
chwy,2022-01-30,total_equity,StockholdersEquity,StockholdersEquity,-39.62,14.736,1.3719333669863705,latest valid filing then configured source-tag priority,high,0001766502-25-000014,0001766502-22-000008,2025-03-26,2022-03-29
chwy,2023-01-29,cash_and_equivalents,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,331.641,330.441,0.0036183704668603864,latest valid filing then configured source-tag priority,low,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2023-01-29,current_assets,AssetsCurrent,AssetsCurrent,1524.78,1520.321,0.002924356300581107,latest valid filing then configured source-tag priority,low,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2023-01-29,current_liabilities,LiabilitiesCurrent,LiabilitiesCurrent,1827.718,1769.349,0.03193545174912111,latest valid filing then configured source-tag priority,medium,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2023-01-29,inventory,InventoryNet,InventoryNet,678.005,675.52,0.0036651647111747166,latest valid filing then configured source-tag priority,low,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2023-01-29,net_income,NetIncomeLoss,NetIncomeLoss,49.899,49.899,0.0,latest valid filing then configured source-tag priority,low,0001766502-25-000014,0001766502-24-000014,2025-03-26,2024-03-20
chwy,2023-01-29,net_income,NetIncomeLoss,NetIncomeLoss,49.899,49.232,0.01336700134271231,latest valid filing then configured source-tag priority,medium,0001766502-25-000014,0001766502-23-000011,2025-03-26,2023-03-22
chwy,2023-01-29,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,349.777,349.777,0.0,latest valid filing then configured source-tag priority,low,0001766502-25-000014,0001766502-24-000014,2025-03-26,2024-03-20
chwy,2023-01-29,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,349.777,349.572,0.0005860877073106124,latest valid filing then configured source-tag priority,low,0001766502-25-000014,0001766502-23-000011,2025-03-26,2023-03-22
chwy,2023-01-29,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,10119.0,10119.0,0.0,latest valid filing then configured source-tag priority,low,0001766502-25-000014,0001766502-24-000014,2025-03-26,2024-03-20
chwy,2023-01-29,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,10119.0,10098.939,0.001982508152979513,latest valid filing then configured source-tag priority,low,0001766502-25-000014,0001766502-23-000011,2025-03-26,2023-03-22
chwy,2023-01-29,total_assets,Assets,Assets,2519.818,2515.076,0.0018818819454421664,latest valid filing then configured source-tag priority,low,0001766502-24-000014,0001766502-23-000011,2024-03-20,2023-03-22
chwy,2023-01-29,total_equity,StockholdersEquity,StockholdersEquity,160.3,160.268,0.00019962570180917456,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-25-000014,2026-03-25,2025-03-26
